iter	Passed	Remaining
559	7358	5781
560	7371	5768
561	7387	5757
562	7399	5743
563	7415	5732
564	7427	5718
565	7440	5705
566	7450	5689
567	7460	5674
568	7471	5659
569	7486	5647
570	7501	5636
571	7512	5621
572	7525	5608
573	7549	5603
574	7563	5590
575	7581	5581
576	7594	5567
577	7609	5555
578	7622	5542
579	7632	5527
580	7643	5512
581	7652	5495
582	7662	5480
583	7672	5465
584	7685	5451
585	7697	5438
586	7712	5426
587	7722	5410
588	7735	5397
589	7745	5382
590	7758	5369
591	7770	5355
592	7784	5342
593	7806	5335
594	7819	5322
595	7833	5309
596	7842	5293
597	7857	5282
598	7870	5268
599	7883	5255
600	7897	5243
601	7907	5227
602	7920	5214
603	7934	5202
604	7947	5189
605	7963	5177
606	7978	5165
607	7991	5152
608	8003	5138
609	8020	5127
610	8032	5113
611	8043	5099
612	8055	5085
613	8067	5072
614	8078	5057
615	8090	5043
616	8103	5030
617	8114	5015
618	8130	5004
619	8144	4991
620	8154	4976
621	8167	4963
622	8177	4948
623	8184	4931
624	8198	4918
625	8210	4905
626	8223	4891
627	8233	4877
628	8247	4864
629	8257	4849
630	8270	4836
631	8282	4822
632	8292	4807
633	8307	4795
634	8325	4785
635	8338	4772
636	8353	4760
637	8368	4747
638	8379	4733
639	8394	4722
640	8406	4708
641	8416	4693
642	8428	4679
643	8444	4667
644	8452	4652
645	8465	4638
646	8477	4625
647	8489	4611
648	8503	4598
649	8511	4583
650	8522	4568
651	8540	4558
652	8555	4546
653	8568	4533
654	8588	4523
655	8602	4510
656	8620	4500
657	8638	4490
658	8649	4475
659	8663	4463
660	8680	4451
661	8705	4444
662	8717	4430
663	8726	4415
664	8742	4403
665	8755	4390
666	8772	4379
667	8786	4367
668	8803	4355
669	8816	4342
670	8837	4333
671	8854	4321
672	8868	4309
673	8884	4297
674	8892	4281
675	8904	4267
676	8919	4255
677	8930	4241
678	8941	4227
679	8954	4213
680	8967	4200
681	8987	4190
682	8998	4176
683	9011	4163
684	9022	4149
685	9036	4136
686	9049	4123
687	9061	4109
688	9077	4097
689	9091	4084
690	9109	4073
691	9124	4061
692	9136	4047
693	9150	4034
694	9167	4022
695	9181	4010
696	9197	3998
697	9211	3985
698	9222	3971
699	9233	3957
700	9242	3942
701	9257	3929
702	9271	3916
703	9292	3907
704	9315	3897
705	9332	3886
706	9342	3871
707	9354	3857
708	9370	3845
709	9382	3832
710	9404	3822
711	9419	3810
712	9438	3799
713	9454	3786
714	9466	3773
715	9480	3760
716	9493	3747
717	9505	3733
718	9520	3720
719	9535	3708
720	9544	3693
721	9556	3679
722	9575	3668
723	9590	3655
724	9605	3643
725	9621	3631
726	9638	3619
727	9651	3605
728	9666	3593
729	9681	3580
730	9694	3567
731	9704	3553
732	9719	3540
733	9730	3526
734	9744	3513
735	9756	3499
736	9767	3485
737	9779	3471
738	9793	3458
739	9804	3444
740	9817	3431
741	9827	3416
742	9842	3404
743	9855	3390
744	9865	3376
745	9879	3363
746	9889	3349
747	9898	3334
748	9911	3321
749	9924	3308
750	9939	3295
751	9949	3281
752	9961	3267
753	9972	3253
754	9983	3239
755	9997	3226
756	10010	3213
757	10024	3200
758	10034	3186
759	10046	3172
760	10054	3157
761	10062	3142
762	10072	3128
763	10083	3114
764	10092	3100
765	10099	3085
766	10112	3072
767	10124	3058
768	10133	3044
769	10141	3029
770	10149	3014
771	10158	3000
772	10168	2986
773	10180	2972
774	10192	2959
775	10203	2945
776	10212	2930
777	10220	2916
778	10231	2902
779	10242	2888
780	10252	2875
781	10264	2861
782	10278	2848
783	10293	2835
784	10305	2822
785	10323	2810
786	10335	2797
787	10343	2782
788	10350	2767
789	10357	2753
790	10367	2739
791	10378	2725
792	10387	2711
793	10400	2698
794	10407	2683
795	10417	2669
796	10423	2655
797	10433	2641
798	10442	2626
799	10453	2613
800	10461	2599
801	10470	2585
802	10478	2570
803	10483	2555
804	10491	2541
805	10498	2527
806	10506	2512
807	10513	2498
808	10521	2484
809	10529	2469
810	10536	2455
811	10546	2441
812	10552	2427
813	10560	2413
814	10568	2398
815	10577	2385
816	10584	2370
817	10593	2356
818	10600	2342
819	10607	2328
820	10614	2314
821	10622	2300
822	10629	2286
823	10635	2271
824	10642	2257
825	10650	2243
826	10656	2229
827	10664	2215
828	10672	2201
829	10679	2187
830	10687	2173
831	10694	2159
832	10699	2145
833	10705	2130
834	10710	2116
835	10716	2102
836	10721	2088
837	10727	2073
838	10733	2059
839	10739	2045
840	10746	2031
841	10752	2017
842	10758	2003
843	10763	1989
844	10769	1975
845	10776	1961
846	10783	1947
847	10789	1933
848	10795	1920
849	10800	1906
850	10808	1892
851	10815	1878
852	10821	1864
853	10827	1851
854	10833	1837
855	10839	1823
856	10844	1809
857	10849	1795
858	10855	1781
859	10861	1768
860	10867	1754
861	10872	1740
862	10878	1726
863	10883	1713
864	10889	1699
865	10894	1685
866	10899	1672
867	10905	1658
868	10911	1644
869	10916	1631
870	10921	1617
871	10927	1604
872	10932	1590
873	10937	1576
874	10943	1563
875	10948	1549
876	10953	1536
877	10959	1522
878	10965	1509
879	10971	1496
880	10976	1482
881	10982	1469
882	10988	1455
883	10994	1442
884	11000	1429
885	11005	1416
886	11010	1402
887	11016	1389
888	11021	1376
889	11027	1362
890	11032	1349
891	11037	1336
892	11043	1323
893	11049	1310
894	11054	1296
895	11060	1283
896	11065	1270
897	11071	1257
898	11077	1244
899	11082	1231
900	11088	1218
901	11094	1205
902	11099	1192
903	11104	1179
904	11109	1166
905	11114	1153
906	11119	1140
907	11124	1127
908	11129	1114
909	11136	1101
910	11141	1088
911	11146	1075
912	11152	1062
913	11157	1049
914	11161	1036
915	11167	1024
916	11172	1011
917	11177	998
918	11183	985
919	11188	972
920	11193	960
921	11199	947
922	11204	934
923	11209	922
924	11216	909
925	11223	896
926	11229	884
927	11236	871
928	11248	859
929	11258	847
930	11265	834
931	11270	822
932	11283	810
933	11291	797
934	11298	785
935	11307	773
936	11312	760
937	11317	748
938	11322	735
939	11328	723
940	11333	710
941	11339	698
942	11345	685
943	11350	673
944	11356	660
945	11362	648
946	11366	636
947	11372	623
948	11377	611
949	11383	599
950	11388	586
951	11395	574
952	11399	562
953	11405	549
954	11411	537
955	11416	525
956	11421	513
957	11427	500
958	11432	488
959	11436	476
960	11441	464
961	11445	452
962	11449	439
963	11454	427
964	11458	415
965	11463	403
966	11467	391
967	11471	379
968	11476	367
969	11480	355
970	11484	342
971	11488	330
972	11492	318
973	11497	306
974	11501	294
975	11505	282
976	11508	270
977	11513	258
978	11517	247
979	11521	235
980	11525	223
981	11530	211
982	11536	199
983	11540	187
984	11544	175
985	11549	163
986	11554	152
987	11559	140
988	11563	128
989	11567	116
990	11571	105
991	11575	93
992	11579	81
993	11583	69
994	11587	58
995	11592	46
996	11596	34
997	11600	23
998	11604	11
999	11609	0
